Years,Gross Premium Non-Life (USD),Gross Premium Life (USD),GDP (USD),URBAN POPULATION
1986," 128,908,198.11 "," 77,038,943.74 "," 54,805,852,580.91 "," 22,664,317.00 "
1987," 90,953,718.97 "," 44,718,331.68 "," 52,676,041,931.11 "," 23,955,943.00 "
1988," 94,062,869.61 "," 36,218,230.61 "," 49,648,470,440.46 "," 25,315,578.00 "
1989," 84,226,144.73 "," 37,544,567.86 "," 44,003,061,108.40 "," 26,749,243.00 "
1990," 101,012,490.48 "," 35,026,556.04 "," 54,035,795,387.81 "," 28,259,591.00 "
1991," 100,233,268.81 "," 37,227,052.65 "," 49,118,434,950.42 "," 29,477,534.00 "
1992," 95,843,907.00 "," 38,547,521.41 "," 47,794,954,191.50 "," 30,732,846.00 "
1993," 125,089,625.07 "," 38,833,880.33 "," 27,752,204,787.49 "," 32,047,445.00 "
1994," 173,111,545.96 "," 47,150,418.03 "," 33,833,043,777.74 "," 33,420,099.00 "
1995," 251,792,403.13 "," 52,232,978.88 "," 44,062,465,417.94 "," 34,841,820.00 "
1996," 353,711,027.09 "," 87,356,437.65 "," 51,075,815,092.50 "," 36,310,411.00 "
1997," 432,127,064.45 "," 105,136,525.87 "," 54,457,835,603.14 "," 37,832,154.00 "
1998," 376,682,540.85 "," 121,589,657.54 "," 54,604,050,168.18 "," 39,409,892.00 "
1999," 105,718,853.20 "," 52,027,563.90 "," 59,372,679,433.17 "," 41,060,367.00 "
2000," 125,954,046.63 "," 40,371,019.99 "," 69,448,962,760.88 "," 42,801,631.00 "
2001," 158,667,557.87 "," 50,568,210.88 "," 74,030,562,269.97 "," 44,997,399.00 "
2002," 295,091,893.02 "," 68,604,489.52 "," 95,054,094,655.33 "," 47,308,171.00 "
2003," 349,555,320.73 "," 78,364,044.61 "," 104,738,980,156.96 "," 49,728,233.00 "
2004," 425,024,248.80 "," 91,759,863.24 "," 135,764,715,375.21 "," 52,257,527.00 "
2005," 476,189,392.19 "," 98,587,741.19 "," 175,670,536,601.01 "," 54,895,345.00 "
2006," 521,920,218.68 "," 99,047,811.27 "," 238,454,952,231.57 "," 57,649,638.00 "
2007," 667,080,032.53 "," 125,453,877.41 "," 278,260,808,841.03 "," 60,532,139.00 "
2008," 1,019,948,408.77 "," 247,351,847.06 "," 339,476,215,683.59 "," 63,546,553.00 "
2009," 971,661,062.60 "," 230,332,825.09 "," 295,008,767,295.04 "," 66,691,001.00 "
2010," 971,201,071.21 "," 264,547,906.65 "," 366,990,528,103.08 "," 69,982,300.00 "
2011," 1,060,647,376.72 "," 354,564,309.04 "," 414,466,540,786.74 "," 73,409,645.00 "
2012," 1,156,653,168.25 "," 444,223,511.11 "," 463,971,000,388.61 "," 76,952,556.00 "
2013," 1,191,388,833.21 "," 511,188,672.17 "," 520,117,163,617.72 "," 80,580,193.00 "
2014," 1,166,601,609.76 "," 684,795,856.18 "," 574,183,825,592.36 "," 84,275,849.00 "
2015," 927,493,098.29 "," 696,672,987.82 "," 493,026,782,401.56 "," 88,019,904.00 "
2016," 746,688,743.63 "," 499,803,997.76 "," 404,649,048,648.03 "," 91,848,722.00 "
2017," 664,986,809.28 "," 528,830,070.55 "," 375,745,732,274.68 "," 95,817,238.00 "
2018," 767,815,110.79 "," 582,431,906.20 "," 421,739,210,176.15 "," 99,876,265.00 "
2019," 848,981,213.99 "," 750,130,096.62 "," 474,517,470,742.75 "," 104,004,479.00 "
2020," 802,521,661.00 "," 614,491,254.68 "," 432,198,936,002.18 "," 108,242,753.00 "